               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032512,           0.0097316,          0.00068029,             0.90397,             0.90011,              0.9286,             0.49012,            0.036246,           0.0080138,           0.0009107,            0.006535,            0.006535,            0.006535
                  37,            0.031948,            0.010144,          0.00056027,              0.9228,             0.91473,             0.94182,             0.49984,             0.03572,           0.0079466,          0.00075511,            0.006436,            0.006436,            0.006436
                  38,            0.031962,           0.0098302,          0.00062642,             0.91239,             0.90698,             0.93506,             0.49957,            0.036089,           0.0080248,          0.00059319,            0.006337,            0.006337,            0.006337
                  39,            0.031486,            0.010108,           0.0006498,             0.93976,             0.91191,             0.94433,             0.50169,            0.035281,           0.0080416,          0.00070842,            0.006238,            0.006238,            0.006238
                  40,             0.03147,           0.0096059,           0.0006247,             0.92969,             0.89154,             0.93553,             0.49889,            0.036527,            0.008214,          0.00060211,            0.006139,            0.006139,            0.006139
                  41,            0.031085,            0.009701,          0.00055877,             0.92651,             0.88953,             0.92987,             0.50615,            0.036348,           0.0082816,          0.00052092,             0.00604,             0.00604,             0.00604
                  42,            0.031591,           0.0093524,          0.00065705,              0.9442,              0.9243,             0.93462,             0.50441,            0.035482,           0.0078063,          0.00056336,            0.005941,            0.005941,            0.005941
                  43,            0.031304,           0.0095728,          0.00063788,             0.93912,             0.91399,             0.94395,             0.50864,            0.035715,           0.0080407,          0.00064805,            0.005842,            0.005842,            0.005842
                  44,            0.030772,           0.0094502,          0.00058817,             0.92977,             0.90634,             0.94179,             0.50897,            0.035978,           0.0081206,          0.00059675,            0.005743,            0.005743,            0.005743
                  45,            0.031261,           0.0094852,          0.00047598,             0.92496,             0.91417,             0.93628,             0.51061,            0.035112,           0.0079028,          0.00053179,            0.005644,            0.005644,            0.005644
                  46,             0.03057,           0.0098652,          0.00058053,             0.91159,             0.91067,             0.93282,             0.49507,            0.035672,           0.0082115,          0.00057592,            0.005545,            0.005545,            0.005545
                  47,            0.030375,           0.0094945,          0.00052902,             0.92713,             0.91281,             0.93353,             0.50113,            0.035191,           0.0081204,          0.00066234,            0.005446,            0.005446,            0.005446
                  48,            0.029873,           0.0092876,          0.00056067,             0.92413,             0.92248,             0.93817,             0.50727,            0.035041,           0.0078639,          0.00074585,            0.005347,            0.005347,            0.005347
                  49,            0.029932,           0.0092777,          0.00053882,             0.92893,             0.91751,             0.93717,             0.49842,            0.035695,           0.0082565,          0.00067781,            0.005248,            0.005248,            0.005248
                  50,            0.029836,           0.0095017,          0.00050508,             0.94675,             0.89545,             0.93785,             0.51155,            0.035471,           0.0081177,          0.00052896,            0.005149,            0.005149,            0.005149
                  51,            0.030149,           0.0089617,          0.00050629,             0.93377,             0.91914,             0.93692,             0.50632,            0.035191,           0.0079884,           0.0006512,             0.00505,             0.00505,             0.00505
                  52,            0.029874,           0.0093855,          0.00048061,             0.94747,             0.90973,             0.94345,             0.51026,            0.035881,           0.0081125,          0.00071669,            0.004951,            0.004951,            0.004951
                  53,            0.029222,           0.0093978,          0.00040731,             0.91733,             0.92152,             0.94405,             0.51996,            0.034829,           0.0078656,          0.00059558,            0.004852,            0.004852,            0.004852
                  54,            0.029188,           0.0089855,          0.00061226,             0.94501,             0.90693,             0.94315,             0.51354,            0.036143,           0.0080162,          0.00066309,            0.004753,            0.004753,            0.004753
                  55,            0.028994,           0.0092098,          0.00044553,             0.94147,             0.89513,             0.93608,             0.50377,            0.035452,           0.0081876,          0.00052978,            0.004654,            0.004654,            0.004654
                  56,            0.028913,           0.0089869,          0.00042009,             0.94035,             0.90475,             0.94314,             0.51109,            0.035667,           0.0082845,          0.00094097,            0.004555,            0.004555,            0.004555
                  57,            0.028757,            0.009515,          0.00042786,             0.92149,             0.92636,             0.94222,             0.50391,            0.035154,           0.0080889,          0.00066413,            0.004456,            0.004456,            0.004456
                  58,            0.028811,           0.0089895,          0.00044733,             0.93235,             0.92976,             0.95053,             0.52264,            0.034595,           0.0079404,          0.00070148,            0.004357,            0.004357,            0.004357
                  59,            0.028575,           0.0088933,          0.00045165,             0.92666,             0.92828,             0.94482,             0.51818,            0.034424,           0.0078808,          0.00053299,            0.004258,            0.004258,            0.004258
                  60,            0.028409,           0.0088626,          0.00043313,             0.92996,             0.91115,              0.9277,              0.5016,            0.036072,            0.008373,          0.00084375,            0.004159,            0.004159,            0.004159
